EmployeeID,Age,Gender,Department,JobRole,MaritalStatus,Education,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,JobSatisfaction,WorkLifeBalance,OverTime,PerformanceRating,Attrition,AgeGroup,TenureGroup,SalaryBand,PromotionStatus,AttritionFlag
2031,52,Male,Operations,Operations Manager,Single,Bachelor,13515,28,0,3,1,Yes,3,Yes,51+,10+ Years,High,Promoted 3-5 Yrs Ago,1
2032,42,Male,Sales,IT Specialist,Married,Master,5277,19,4,4,1,Yes,4,No,41-50,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2033,47,Female,R&D,Finance Analyst,Married,Master,8601,30,9,4,3,No,2,Yes,41-50,10+ Years,Medium,Promoted 3-5 Yrs Ago,1
2034,24,Female,Operations,HR Manager,Married,Master,13944,26,3,1,2,Yes,3,Yes,<30,10+ Years,High,Promoted 1-2 Yrs Ago,1
2035,39,Male,Finance,HR Manager,Divorced,Master,9950,26,9,1,3,Yes,4,No,30-40,10+ Years,Medium,Promoted 1-2 Yrs Ago,0
2036,57,Male,IT,Admin Assistant,Married,Bachelor,9010,24,2,4,2,No,4,No,51+,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2037,22,Female,Finance,HR Manager,Single,Master,4934,30,8,1,1,Yes,3,Yes,<30,10+ Years,Low,Promoted 1-2 Yrs Ago,1
2038,49,Male,Sales,HR Associate,Divorced,Master,6369,28,3,1,2,Yes,4,No,41-50,10+ Years,Medium,Promoted 1-2 Yrs Ago,0
2039,35,Female,Operations,Laboratory Technician,Single,PhD,3480,22,10,2,1,Yes,3,No,30-40,10+ Years,Low,Promoted 1-2 Yrs Ago,0
2040,45,Female,IT,Laboratory Technician,Divorced,PhD,6149,8,6,3,4,No,2,Yes,41-50,7-10 Years,Medium,Promoted 3-5 Yrs Ago,1
2041,56,Female,Sales,Sales Representative,Divorced,Bachelor,3697,3,2,2,1,No,2,No,51+,3-6 Years,Low,Promoted 1-2 Yrs Ago,0
2042,27,Female,Admin,Sales Executive,Single,Bachelor,11166,30,10,1,4,No,3,No,<30,10+ Years,High,Promoted 1-2 Yrs Ago,0
2043,51,Male,IT,Admin Assistant,Divorced,Bachelor,10973,11,2,4,3,Yes,2,No,51+,10+ Years,High,Promoted 3-5 Yrs Ago,0
2044,55,Male,Operations,HR Manager,Single,PhD,2877,23,9,2,1,Yes,4,No,51+,10+ Years,Low,Promoted 1-2 Yrs Ago,0
2045,34,Female,HR,Operations Manager,Married,PhD,8954,9,2,3,1,No,4,No,30-40,7-10 Years,Medium,Promoted 3-5 Yrs Ago,0
2046,60,Male,Sales,Finance Analyst,Married,Bachelor,2847,30,4,4,3,No,3,Yes,51+,10+ Years,Low,Promoted 3-5 Yrs Ago,1
2047,51,Female,IT,Laboratory Technician,Single,PhD,14945,10,10,3,1,Yes,3,Yes,51+,7-10 Years,High,Promoted 3-5 Yrs Ago,1
2048,25,Female,Sales,Operations Manager,Single,Bachelor,9317,24,3,1,3,Yes,2,No,<30,10+ Years,Medium,Promoted 1-2 Yrs Ago,0
2049,44,Male,IT,HR Associate,Divorced,PhD,11076,8,0,2,1,Yes,2,No,41-50,7-10 Years,High,Promoted 1-2 Yrs Ago,0
2050,30,Female,HR,Laboratory Technician,Divorced,Master,4004,0,10,4,1,No,3,Yes,30-40,0-2 Years,Low,Promoted 3-5 Yrs Ago,1
2051,35,Male,Admin,Operations Manager,Divorced,Bachelor,8735,19,1,4,1,Yes,2,No,30-40,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2052,32,Female,Finance,HR Manager,Married,PhD,3674,19,1,4,2,Yes,2,Yes,30-40,10+ Years,Low,Promoted 3-5 Yrs Ago,1
2053,50,Male,Sales,Operations Manager,Divorced,Master,4060,22,0,1,2,Yes,3,No,41-50,10+ Years,Low,Promoted 1-2 Yrs Ago,0
2054,60,Female,IT,IT Specialist,Married,PhD,14850,26,5,1,2,No,4,No,51+,10+ Years,High,Promoted 1-2 Yrs Ago,0
2055,33,Male,Operations,Sales Executive,Single,Master,13094,13,4,2,2,No,2,Yes,30-40,10+ Years,High,Promoted 1-2 Yrs Ago,1
2056,54,Male,HR,Sales Executive,Single,PhD,11404,12,5,2,1,Yes,2,Yes,51+,10+ Years,High,Promoted 1-2 Yrs Ago,1
2057,33,Female,IT,Research Scientist,Divorced,PhD,4133,6,3,4,4,Yes,2,No,30-40,3-6 Years,Low,Promoted 3-5 Yrs Ago,0
2058,24,Male,Operations,IT Specialist,Divorced,Master,3836,3,8,3,2,Yes,4,Yes,<30,3-6 Years,Low,Promoted 3-5 Yrs Ago,1
2059,29,Female,Admin,HR Associate,Single,Master,7323,7,3,2,4,Yes,4,No,<30,7-10 Years,Medium,Promoted 1-2 Yrs Ago,0
2060,23,Male,Operations,Sales Executive,Married,Master,5311,19,6,1,4,No,4,Yes,<30,10+ Years,Medium,Promoted 1-2 Yrs Ago,1
2061,32,Male,Sales,HR Associate,Married,Master,2871,2,10,3,4,No,4,Yes,30-40,0-2 Years,Low,Promoted 3-5 Yrs Ago,1
2062,52,Male,HR,Sales Representative,Single,Master,11645,7,9,4,1,Yes,4,No,51+,7-10 Years,High,Promoted 3-5 Yrs Ago,0
2063,48,Male,Operations,Laboratory Technician,Divorced,Master,8417,22,4,3,4,Yes,3,Yes,41-50,10+ Years,Medium,Promoted 3-5 Yrs Ago,1
2064,27,Female,Admin,HR Manager,Married,Master,12065,16,2,1,2,Yes,2,Yes,<30,10+ Years,High,Promoted 1-2 Yrs Ago,1
2065,49,Male,IT,Sales Representative,Single,PhD,9087,4,0,4,2,No,3,No,41-50,3-6 Years,Medium,Promoted 3-5 Yrs Ago,0
2066,27,Female,Operations,Admin Assistant,Single,Master,14402,4,2,1,2,No,2,No,<30,3-6 Years,High,Promoted 1-2 Yrs Ago,0
2067,31,Female,Finance,Admin Assistant,Married,PhD,5708,11,8,3,4,No,3,Yes,30-40,10+ Years,Medium,Promoted 3-5 Yrs Ago,1
2068,41,Female,HR,Finance Analyst,Married,PhD,5912,15,2,1,1,Yes,3,No,41-50,10+ Years,Medium,Promoted 1-2 Yrs Ago,0
2069,22,Female,Admin,HR Manager,Single,PhD,5002,1,6,2,1,No,4,Yes,<30,0-2 Years,Medium,Promoted 1-2 Yrs Ago,1
2070,46,Male,Operations,Finance Analyst,Divorced,Bachelor,4211,25,10,2,4,No,4,Yes,41-50,10+ Years,Low,Promoted 1-2 Yrs Ago,1
2071,43,Male,Operations,Research Scientist,Married,Master,7625,16,0,2,3,No,4,Yes,41-50,10+ Years,Medium,Promoted 1-2 Yrs Ago,1
2072,30,Female,Admin,Laboratory Technician,Married,Master,2676,23,2,4,1,No,2,Yes,30-40,10+ Years,Low,Promoted 3-5 Yrs Ago,1
2073,55,Female,Admin,IT Specialist,Divorced,Master,12174,1,2,3,2,No,3,Yes,51+,0-2 Years,High,Promoted 3-5 Yrs Ago,1
2074,47,Male,HR,Laboratory Technician,Married,PhD,8430,12,4,1,4,No,4,Yes,41-50,10+ Years,Medium,Promoted 1-2 Yrs Ago,1
2075,34,Female,HR,HR Associate,Divorced,PhD,4577,24,6,1,4,No,3,Yes,30-40,10+ Years,Low,Promoted 1-2 Yrs Ago,1
2076,25,Female,Sales,IT Specialist,Divorced,Master,11597,6,0,4,1,Yes,4,Yes,<30,3-6 Years,High,Promoted 3-5 Yrs Ago,1
2077,35,Male,Admin,Finance Analyst,Single,Master,6534,17,7,4,2,Yes,2,Yes,30-40,10+ Years,Medium,Promoted 3-5 Yrs Ago,1
2078,50,Male,Finance,Research Scientist,Married,Bachelor,6430,1,5,2,1,No,2,No,41-50,0-2 Years,Medium,Promoted 1-2 Yrs Ago,0
2079,38,Male,Sales,Sales Representative,Married,PhD,13187,25,10,1,2,Yes,2,No,30-40,10+ Years,High,Promoted 1-2 Yrs Ago,0
2080,56,Male,Operations,Research Scientist,Single,Master,11417,1,9,3,3,Yes,4,No,51+,0-2 Years,High,Promoted 3-5 Yrs Ago,0
2081,47,Male,IT,HR Associate,Divorced,Bachelor,10535,21,2,4,1,No,3,Yes,41-50,10+ Years,High,Promoted 3-5 Yrs Ago,1
2082,30,Female,R&D,Finance Analyst,Single,PhD,12684,7,2,3,4,No,3,Yes,30-40,7-10 Years,High,Promoted 3-5 Yrs Ago,1
2083,44,Male,R&D,Operations Manager,Married,PhD,2768,18,5,4,4,Yes,4,No,41-50,10+ Years,Low,Promoted 3-5 Yrs Ago,0
2084,52,Male,Operations,Sales Executive,Single,Bachelor,5883,28,1,4,4,Yes,4,No,51+,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2085,25,Female,Admin,Sales Executive,Divorced,PhD,6592,26,0,2,2,Yes,3,Yes,<30,10+ Years,Medium,Promoted 1-2 Yrs Ago,1
2086,30,Male,IT,Admin Assistant,Married,Bachelor,5267,25,3,4,3,Yes,4,No,30-40,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2087,60,Female,Admin,Research Scientist,Divorced,PhD,11420,20,5,1,4,No,4,Yes,51+,10+ Years,High,Promoted 1-2 Yrs Ago,1
2088,31,Male,IT,Laboratory Technician,Divorced,Master,4644,23,5,2,3,Yes,3,Yes,30-40,10+ Years,Low,Promoted 1-2 Yrs Ago,1
2089,60,Female,HR,IT Specialist,Divorced,Master,3242,1,2,1,2,No,3,No,51+,0-2 Years,Low,Promoted 1-2 Yrs Ago,0
2090,48,Female,Sales,Sales Executive,Divorced,PhD,10143,17,6,1,1,Yes,3,Yes,41-50,10+ Years,High,Promoted 1-2 Yrs Ago,1
2091,29,Female,Sales,Sales Representative,Single,PhD,10503,10,7,3,1,No,2,No,<30,7-10 Years,High,Promoted 3-5 Yrs Ago,0
2092,28,Male,Sales,Sales Representative,Single,PhD,12253,28,5,3,4,No,3,No,<30,10+ Years,High,Promoted 3-5 Yrs Ago,0
2093,29,Male,Admin,Sales Representative,Married,PhD,6656,16,8,4,1,No,2,No,<30,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2094,31,Male,IT,Sales Executive,Single,Bachelor,13078,15,8,2,2,Yes,4,No,30-40,10+ Years,High,Promoted 1-2 Yrs Ago,0
2095,40,Male,Operations,Research Scientist,Divorced,Bachelor,10816,17,0,2,2,Yes,3,No,30-40,10+ Years,High,Promoted 1-2 Yrs Ago,0
2096,33,Male,Finance,Finance Analyst,Married,Bachelor,9984,17,1,3,3,No,4,No,30-40,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2097,33,Female,Sales,Research Scientist,Single,Bachelor,3578,28,4,4,4,Yes,3,Yes,30-40,10+ Years,Low,Promoted 3-5 Yrs Ago,1
2098,48,Male,Admin,Research Scientist,Divorced,PhD,5452,10,1,2,2,Yes,2,Yes,41-50,7-10 Years,Medium,Promoted 1-2 Yrs Ago,1
2099,31,Female,Sales,Research Scientist,Divorced,Bachelor,4074,1,2,4,3,Yes,4,No,30-40,0-2 Years,Low,Promoted 3-5 Yrs Ago,0
2100,35,Male,IT,Sales Executive,Divorced,Master,5529,16,3,3,1,No,2,No,30-40,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2101,57,Male,IT,Operations Manager,Married,Master,14064,0,9,4,1,No,2,No,51+,0-2 Years,High,Promoted 3-5 Yrs Ago,0
2102,42,Female,Finance,Research Scientist,Married,Master,4419,29,9,3,3,No,2,No,41-50,10+ Years,Low,Promoted 3-5 Yrs Ago,0
2103,53,Female,R&D,Sales Representative,Married,Master,12247,21,3,1,1,Yes,2,Yes,51+,10+ Years,High,Promoted 1-2 Yrs Ago,1
2104,36,Male,Sales,IT Specialist,Married,PhD,13917,28,3,1,3,No,4,Yes,30-40,10+ Years,High,Promoted 1-2 Yrs Ago,1
2105,38,Male,Operations,HR Associate,Married,PhD,8546,2,6,3,4,Yes,4,No,30-40,0-2 Years,Medium,Promoted 3-5 Yrs Ago,0
2106,29,Male,HR,HR Associate,Married,Master,12504,4,8,2,3,No,2,Yes,<30,3-6 Years,High,Promoted 1-2 Yrs Ago,1
2107,45,Female,HR,Research Scientist,Married,Master,3498,14,10,1,1,No,3,Yes,41-50,10+ Years,Low,Promoted 1-2 Yrs Ago,1
2108,33,Female,Operations,HR Associate,Single,Bachelor,11499,7,1,3,2,No,4,No,30-40,7-10 Years,High,Promoted 3-5 Yrs Ago,0
2109,26,Male,Operations,Sales Representative,Married,Master,6592,16,3,3,4,Yes,3,Yes,<30,10+ Years,Medium,Promoted 3-5 Yrs Ago,1
2110,54,Male,Finance,Laboratory Technician,Married,PhD,8183,23,7,1,2,No,3,Yes,51+,10+ Years,Medium,Promoted 1-2 Yrs Ago,1
2111,40,Male,Finance,Laboratory Technician,Divorced,PhD,13962,9,8,2,1,Yes,2,No,30-40,7-10 Years,High,Promoted 1-2 Yrs Ago,0
2112,22,Male,Admin,Operations Manager,Divorced,Master,3235,13,1,1,4,No,2,No,<30,10+ Years,Low,Promoted 1-2 Yrs Ago,0
2113,59,Female,Sales,Admin Assistant,Divorced,Bachelor,4238,30,3,3,2,Yes,4,No,51+,10+ Years,Low,Promoted 3-5 Yrs Ago,0
2114,25,Male,Sales,Sales Representative,Divorced,Bachelor,13402,23,8,4,3,No,2,No,<30,10+ Years,High,Promoted 3-5 Yrs Ago,0
2115,43,Female,Finance,HR Associate,Married,PhD,3685,5,9,1,1,No,3,Yes,41-50,3-6 Years,Low,Promoted 1-2 Yrs Ago,1
2116,35,Female,HR,IT Specialist,Single,Bachelor,3324,1,10,4,3,Yes,2,Yes,30-40,0-2 Years,Low,Promoted 3-5 Yrs Ago,1
2117,46,Male,Operations,Finance Analyst,Married,Bachelor,12507,28,10,1,2,Yes,3,No,41-50,10+ Years,High,Promoted 1-2 Yrs Ago,0
2118,47,Female,R&D,Sales Executive,Divorced,Master,9841,7,1,4,4,Yes,3,Yes,41-50,7-10 Years,Medium,Promoted 3-5 Yrs Ago,1
2119,43,Female,R&D,Sales Executive,Married,Master,3411,10,0,3,1,No,4,Yes,41-50,7-10 Years,Low,Promoted 3-5 Yrs Ago,1
2120,47,Female,Admin,Sales Representative,Married,Bachelor,4064,9,7,2,4,Yes,2,No,41-50,7-10 Years,Low,Promoted 1-2 Yrs Ago,0
2121,46,Male,Sales,HR Manager,Single,PhD,12851,24,10,4,4,No,3,No,41-50,10+ Years,High,Promoted 3-5 Yrs Ago,0
2122,48,Female,Admin,HR Manager,Single,PhD,7336,28,5,2,2,No,2,No,41-50,10+ Years,Medium,Promoted 1-2 Yrs Ago,0
2123,45,Male,HR,Research Scientist,Single,Master,14216,11,9,4,1,No,4,No,41-50,10+ Years,High,Promoted 3-5 Yrs Ago,0
2124,56,Male,HR,HR Associate,Divorced,Master,11012,6,7,1,3,No,2,Yes,51+,3-6 Years,High,Promoted 1-2 Yrs Ago,1
2125,27,Male,R&D,Admin Assistant,Married,Bachelor,2543,17,4,4,1,Yes,2,Yes,<30,10+ Years,Low,Promoted 3-5 Yrs Ago,1
2126,33,Female,Sales,HR Associate,Divorced,PhD,13144,3,1,3,3,No,2,Yes,30-40,3-6 Years,High,Promoted 3-5 Yrs Ago,1
2127,24,Female,Sales,Operations Manager,Single,Master,4614,11,1,4,3,No,3,No,<30,10+ Years,Low,Promoted 3-5 Yrs Ago,0
2128,45,Female,Admin,Operations Manager,Single,Bachelor,7308,20,5,3,3,Yes,4,Yes,41-50,10+ Years,Medium,Promoted 3-5 Yrs Ago,1
2129,47,Female,Admin,IT Specialist,Married,Bachelor,6265,22,10,3,1,Yes,2,Yes,41-50,10+ Years,Medium,Promoted 3-5 Yrs Ago,1
2130,50,Female,IT,Operations Manager,Married,Master,9911,0,2,2,4,Yes,3,Yes,41-50,0-2 Years,Medium,Promoted 1-2 Yrs Ago,1
2131,36,Female,Operations,Sales Representative,Single,Master,3009,28,7,4,2,No,2,No,30-40,10+ Years,Low,Promoted 3-5 Yrs Ago,0
2132,41,Female,Admin,Finance Analyst,Divorced,Master,13919,22,4,2,3,No,2,Yes,41-50,10+ Years,High,Promoted 1-2 Yrs Ago,1
2133,36,Male,Operations,Laboratory Technician,Single,Master,3826,18,5,3,1,No,3,No,30-40,10+ Years,Low,Promoted 3-5 Yrs Ago,0
2134,41,Male,Admin,Sales Representative,Single,Master,6102,8,3,2,1,Yes,4,No,41-50,7-10 Years,Medium,Promoted 1-2 Yrs Ago,0
2135,28,Male,Operations,Finance Analyst,Divorced,Bachelor,13075,11,0,1,1,Yes,3,No,<30,10+ Years,High,Promoted 1-2 Yrs Ago,0
2136,42,Female,IT,Sales Executive,Divorced,Master,10383,9,3,2,3,Yes,3,No,41-50,7-10 Years,High,Promoted 1-2 Yrs Ago,0
2137,35,Male,HR,IT Specialist,Single,PhD,11038,19,9,1,3,No,2,No,30-40,10+ Years,High,Promoted 1-2 Yrs Ago,0
2138,37,Female,R&D,Laboratory Technician,Married,Bachelor,9541,7,2,2,4,No,2,Yes,30-40,7-10 Years,Medium,Promoted 1-2 Yrs Ago,1
2139,46,Female,R&D,HR Manager,Married,Bachelor,9515,7,9,1,1,Yes,2,No,41-50,7-10 Years,Medium,Promoted 1-2 Yrs Ago,0
2140,40,Male,Admin,Sales Executive,Married,PhD,9842,22,10,3,3,No,2,Yes,30-40,10+ Years,Medium,Promoted 3-5 Yrs Ago,1
2141,50,Male,HR,Laboratory Technician,Married,PhD,4871,28,3,4,3,No,4,No,41-50,10+ Years,Low,Promoted 3-5 Yrs Ago,0
2142,27,Male,IT,Finance Analyst,Married,PhD,7512,29,6,3,2,No,2,Yes,<30,10+ Years,Medium,Promoted 3-5 Yrs Ago,1
2143,50,Female,Finance,Sales Executive,Married,PhD,10292,23,2,1,3,No,2,Yes,41-50,10+ Years,High,Promoted 1-2 Yrs Ago,1
2144,48,Female,R&D,Finance Analyst,Divorced,Bachelor,6690,16,4,2,2,No,4,Yes,41-50,10+ Years,Medium,Promoted 1-2 Yrs Ago,1
2145,38,Female,Finance,HR Manager,Married,Master,5050,4,5,1,1,Yes,4,Yes,30-40,3-6 Years,Medium,Promoted 1-2 Yrs Ago,1
2146,26,Male,Admin,Laboratory Technician,Divorced,PhD,13638,21,6,3,1,Yes,3,Yes,<30,10+ Years,High,Promoted 3-5 Yrs Ago,1
2147,54,Male,IT,Laboratory Technician,Married,Master,8547,21,2,4,3,Yes,2,No,51+,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2148,40,Male,Admin,IT Specialist,Married,PhD,11688,9,3,1,1,No,3,Yes,30-40,7-10 Years,High,Promoted 1-2 Yrs Ago,1
2149,42,Male,R&D,Admin Assistant,Divorced,PhD,9928,25,2,4,3,No,3,No,41-50,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2150,52,Male,R&D,Research Scientist,Married,PhD,6189,30,9,1,2,No,2,No,51+,10+ Years,Medium,Promoted 1-2 Yrs Ago,0
2151,56,Female,Operations,Operations Manager,Single,Bachelor,11317,17,2,3,1,No,4,No,51+,10+ Years,High,Promoted 3-5 Yrs Ago,0
2152,30,Male,IT,Sales Executive,Divorced,Master,8614,22,1,2,1,No,3,Yes,30-40,10+ Years,Medium,Promoted 1-2 Yrs Ago,1
2153,38,Male,IT,Operations Manager,Married,Bachelor,7539,19,1,2,1,Yes,3,No,30-40,10+ Years,Medium,Promoted 1-2 Yrs Ago,0
2154,49,Male,IT,Admin Assistant,Married,Master,7552,7,5,3,3,No,4,Yes,41-50,7-10 Years,Medium,Promoted 3-5 Yrs Ago,1
2155,40,Female,HR,Laboratory Technician,Divorced,Master,3892,17,3,3,1,Yes,4,No,30-40,10+ Years,Low,Promoted 3-5 Yrs Ago,0
2156,48,Female,IT,HR Associate,Single,PhD,11964,14,7,1,4,Yes,4,Yes,41-50,10+ Years,High,Promoted 1-2 Yrs Ago,1
2157,32,Female,IT,Finance Analyst,Married,Bachelor,10991,9,4,2,3,Yes,3,No,30-40,7-10 Years,High,Promoted 1-2 Yrs Ago,0
2158,40,Male,Finance,Sales Executive,Divorced,PhD,11162,26,8,2,4,No,4,Yes,30-40,10+ Years,High,Promoted 1-2 Yrs Ago,1
2159,46,Female,Finance,Research Scientist,Divorced,Master,9442,24,10,4,3,No,2,No,41-50,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2160,60,Male,Admin,Research Scientist,Single,Bachelor,11795,19,0,2,4,No,2,No,51+,10+ Years,High,Promoted 1-2 Yrs Ago,0
2161,50,Male,HR,Admin Assistant,Divorced,Bachelor,12024,4,1,3,3,No,3,Yes,41-50,3-6 Years,High,Promoted 3-5 Yrs Ago,1
2162,34,Female,IT,Finance Analyst,Single,Bachelor,9529,5,10,3,2,No,2,No,30-40,3-6 Years,Medium,Promoted 3-5 Yrs Ago,0
2163,46,Female,Sales,Finance Analyst,Married,Master,8216,7,10,4,4,No,3,Yes,41-50,7-10 Years,Medium,Promoted 3-5 Yrs Ago,1
2164,43,Male,Operations,Laboratory Technician,Married,PhD,8615,25,10,1,3,No,2,Yes,41-50,10+ Years,Medium,Promoted 1-2 Yrs Ago,1
2165,34,Male,Finance,Finance Analyst,Divorced,Bachelor,8308,23,3,1,2,Yes,2,No,30-40,10+ Years,Medium,Promoted 1-2 Yrs Ago,0
2166,44,Female,R&D,Sales Representative,Married,PhD,5077,11,3,3,2,No,2,Yes,41-50,10+ Years,Medium,Promoted 3-5 Yrs Ago,1
2167,22,Female,Finance,IT Specialist,Divorced,Bachelor,13176,5,4,3,2,No,4,No,<30,3-6 Years,High,Promoted 3-5 Yrs Ago,0
2168,44,Male,Finance,Research Scientist,Single,Master,5358,0,7,2,1,Yes,4,No,41-50,0-2 Years,Medium,Promoted 1-2 Yrs Ago,0
2169,40,Female,Sales,HR Manager,Divorced,Master,13278,29,4,3,2,Yes,4,Yes,30-40,10+ Years,High,Promoted 3-5 Yrs Ago,1
2170,34,Female,Sales,Finance Analyst,Single,Bachelor,11385,13,10,3,4,No,3,Yes,30-40,10+ Years,High,Promoted 3-5 Yrs Ago,1
2171,32,Male,Operations,HR Manager,Divorced,PhD,4627,30,5,2,1,No,2,No,30-40,10+ Years,Low,Promoted 1-2 Yrs Ago,0
2172,38,Male,IT,Admin Assistant,Married,PhD,11038,3,4,2,3,No,3,No,30-40,3-6 Years,High,Promoted 1-2 Yrs Ago,0
2173,48,Female,Sales,Laboratory Technician,Divorced,PhD,7087,13,7,2,2,Yes,3,No,41-50,10+ Years,Medium,Promoted 1-2 Yrs Ago,0
2174,36,Female,Sales,Research Scientist,Single,PhD,14432,22,8,2,3,No,4,No,30-40,10+ Years,High,Promoted 1-2 Yrs Ago,0
2175,48,Female,Operations,Sales Executive,Single,PhD,7943,2,7,3,2,Yes,2,No,41-50,0-2 Years,Medium,Promoted 3-5 Yrs Ago,0
2176,44,Female,Finance,Admin Assistant,Single,Master,3939,2,5,2,2,Yes,3,Yes,41-50,0-2 Years,Low,Promoted 1-2 Yrs Ago,1
